vtd,winner_first_name,winner_last_name,winner_votes,total_votes,winner_percent
270531780,Tony,Lane,0,0,0
270531785,Tony,Lane,0,0,0
270531775,Tony,Lane,0,0,0
270531830,Tony,Lane,0,0,0
270531770,Tony,Lane,0,0,0
270531540,Tony,Lane,0,0,0
270531835,Tony,Lane,0,0,0
270531940,Tony,Lane,0,0,0
270531945,Tony,Lane,0,0,0
270531370,Tony,Lane,0,0,0
270531375,Tony,Lane,0,0,0
270531465,Tony,Lane,0,0,0
270531675,Tony,Lane,0,0,0
270531670,Tony,Lane,0,0,0
270531460,Tony,Lane,0,0,0
270531490,Tony,Lane,0,0,0
270531495,Tony,Lane,0,0,0
270531650,Tony,Lane,0,0,0
270531700,Tony,Lane,0,0,0
270531555,Tony,Lane,0,0,0
270531705,Tony,Lane,0,0,0
270531825,Tony,Lane,0,0,0
270531827,Tony,Lane,0,0,0
270531820,Tony,Lane,0,0,0
270531410,Tony,Lane,0,0,0
270531385,Tony,Lane,0,0,0
270531665,Tony,Lane,0,0,0
270531390,Tony,Lane,0,0,0
270531380,Tony,Lane,0,0,0
270531415,Tony,Lane,0,0,0
270531660,Tony,Lane,0,0,0
270531920,Tony,Lane,0,0,0
270531480,Tony,Lane,0,0,0
270531925,Tony,Lane,0,0,0
270531485,Tony,Lane,0,0,0
270531710,Tony,Lane,0,0,0
270531715,Tony,Lane,0,0,0
270531525,Tony,Lane,0,0,0
270531520,Tony,Lane,0,0,0
270531395,Tony,Lane,0,0,0
270531400,Tony,Lane,0,0,0
270531655,Tony,Lane,0,0,0
270531930,Tony,Lane,0,0,0
270531935,Tony,Lane,0,0,0
270531645,Tony,Lane,0,0,0
270531435,Tony,Lane,0,0,0
270531640,Tony,Lane,0,0,0
270531430,Tony,Lane,0,0,0
270531642,Tony,Lane,0,0,0
270531725,Tony,Lane,0,0,0
270531720,Tony,Lane,0,0,0
270531535,Tony,Lane,0,0,0
270531530,Tony,Lane,0,0,0
270531875,Tony,Lane,0,0,0
270531870,Tony,Lane,0,0,0
270531905,Tony,Lane,0,0,0
270531902,Tony,Lane,0,0,0
270531900,Tony,Lane,0,0,0
270531630,Tony,Lane,0,0,0
270531420,Tony,Lane,0,0,0
270531985,Tony,Lane,0,0,0
270531425,Tony,Lane,0,0,0
270531635,Tony,Lane,0,0,0
270531980,Tony,Lane,0,0,0
270531730,Tony,Lane,0,0,0
270531580,Tony,Lane,0,0,0
270531735,Tony,Lane,0,0,0
270531585,Tony,Lane,0,0,0
270531500,Tony,Lane,0,0,0
270531505,Tony,Lane,0,0,0
270531950,Tony,Lane,0,0,0
270531860,Tony,Lane,0,0,0
270531865,Tony,Lane,0,0,0
270531590,Tony,Lane,0,0,0
270531910,Tony,Lane,0,0,0
270531915,Tony,Lane,0,0,0
270531990,Tony,Lane,0,0,0
270531620,Tony,Lane,0,0,0
270531995,Tony,Lane,0,0,0
270531625,Tony,Lane,0,0,0
270531455,Tony,Lane,0,0,0
270531450,Tony,Lane,0,0,0
270531515,Tony,Lane,0,0,0
270531510,Tony,Lane,0,0,0
270531840,Tony,Lane,0,0,0
270531845,Tony,Lane,0,0,0
270531895,Tony,Lane,0,0,0
270531890,Tony,Lane,0,0,0
270531815,Tony,Lane,0,0,0
270531817,Tony,Lane,0,0,0
270531810,Tony,Lane,0,0,0
270531965,Tony,Lane,0,0,0
270531615,Tony,Lane,0,0,0
270531960,Tony,Lane,0,0,0
270532000,Tony,Lane,0,0,0
270531610,Tony,Lane,0,0,0
270531445,Tony,Lane,0,0,0
270531690,Tony,Lane,0,0,0
270531440,Tony,Lane,0,0,0
270531560,Tony,Lane,0,0,0
270531755,Tony,Lane,0,0,0
270531565,Tony,Lane,0,0,0
270531750,Tony,Lane,0,0,0
270531885,Tony,Lane,0,0,0
270531880,Tony,Lane,0,0,0
270531805,Tony,Lane,0,0,0
270531975,Tony,Lane,0,0,0
270531605,Tony,Lane,0,0,0
270531970,Tony,Lane,0,0,0
270531680,Tony,Lane,0,0,0
270531470,Tony,Lane,0,0,0
270531365,Tony,Lane,0,0,0
270531685,Tony,Lane,0,0,0
270531360,Tony,Lane,0,0,0
270531475,Tony,Lane,0,0,0
270531760,Tony,Lane,0,0,0
270531570,Tony,Lane,0,0,0
270531575,Tony,Lane,0,0,0
270531765,Tony,Lane,0,0,0
